,Entrez_Gene_Id,counts,Perc_Bi_Allelic
300,197258,4,0.0
301,23093,4,0.0
302,10290,4,0.0
303,6263,4,0.0
304,57661,4,0.0
305,2058,4,0.0
306,161176,4,0.0
307,2803,4,0.0
308,10178,4,0.0
309,84966,4,0.0
310,57654,4,0.0
311,23524,4,0.0
312,8541,4,0.0
313,114780,4,0.0
314,146862,4,0.0
315,57623,4,0.0
316,54507,4,0.0
317,1294,4,0.0
318,6608,4,0.0
319,3066,4,0.0
320,5395,4,0.0
321,11182,4,0.0
322,5332,4,0.0
323,79799,4,0.0
324,57282,4,0.0
325,59341,4,0.0
326,7074,4,0.0
327,9126,4,0.0
328,547,4,0.0
329,11078,4,0.0
330,1046,4,0.0
331,23352,4,0.0
332,4651,4,0.0
333,285877,4,0.0
334,5339,4,0.0
335,169044,4,0.0
336,10343,4,0.0
337,3167,4,0.0
338,84166,4,0.0
339,8747,4,0.0
340,340533,4,0.0
341,79839,4,0.0
342,1010,4,0.0
343,3636,4,0.0
344,90134,4,0.0
345,58506,4,0.0
346,1130,4,0.0
347,2782,4,0.0
348,51366,4,0.0
349,344905,4,0.0
350,57486,4,0.0
351,116984,4,0.0
352,51808,4,0.0
353,55083,4,0.0
354,25903,4,0.0
355,9758,4,0.0
356,375616,4,0.0
357,386724,4,0.0
358,84624,4,0.0
359,463,4,0.0
360,2911,4,0.0
361,114801,4,0.0
362,93035,4,0.0
363,23218,4,0.0
364,145581,4,0.0
365,219432,4,0.0
366,57187,4,0.0
367,22986,4,0.0
368,23242,4,0.0
369,137970,4,0.0
370,4851,4,0.0
371,64901,4,0.0
372,135941,4,0.0
373,133482,4,0.0
374,9311,4,0.0
375,9038,4,0.0
376,348980,4,0.0
377,6528,4,0.0
378,8989,4,0.0
379,84726,4,0.0
380,54796,4,0.0
381,2157,4,0.0
382,1260,4,0.0
383,53942,4,0.0
384,4846,4,0.0
385,283450,4,0.0
386,9704,4,0.0
387,1373,4,0.0
388,57697,4,0.0
389,84620,4,0.0
390,8857,4,0.0
391,54510,4,0.0
392,6499,4,0.0
393,203522,4,0.0
394,9736,4,0.0
395,50485,4,0.0
396,127294,4,0.0
397,389730,4,0.0
398,283310,4,0.0
399,57628,4,0.0
400,223117,4,0.0
401,79649,4,0.0
402,23379,4,0.0
403,9312,4,0.0
404,84629,4,0.0
405,2905,4,0.0
406,5178,4,0.0
407,2828,4,0.0
408,3697,4,0.0
409,3709,4,0.0
410,6712,4,0.0
411,6238,4,0.0
412,164656,4,0.0
413,8777,4,0.0
414,3321,4,0.0
415,1463,4,0.0
416,29123,4,0.0
417,126549,4,0.0
418,3884,4,0.0
419,126205,4,0.0
420,1501,4,0.0
421,8406,4,0.0
422,3798,4,0.0
423,4300,4,0.0
424,57554,4,0.0
425,27112,4,0.0
426,9780,4,0.0
427,10451,4,0.0
428,1469,4,0.0
429,26040,4,0.0
430,57466,4,0.0
431,51596,4,0.0
432,776,4,0.0
433,238,4,0.0
434,91584,4,0.0
435,9699,4,0.0
436,23054,4,0.0
437,5462,4,0.0
438,79705,4,0.0
439,643314,4,0.0
440,54551,4,0.0
441,7091,4,0.0
442,1956,4,0.0
443,23023,4,0.0
444,90668,4,0.0
445,4210,4,0.0
446,9180,4,0.0
447,79838,4,0.0
448,51168,4,0.0
449,22979,4,0.0
450,9849,4,0.0
451,460,4,0.0
452,259232,4,0.0
453,493860,4,0.0
454,6522,4,0.0
455,9620,4,0.0
456,1804,4,0.0
457,11280,4,0.0
458,1828,4,0.0
459,346517,4,0.0
460,54439,4,0.0
461,29128,4,0.0
462,341350,4,0.0
463,23654,4,0.0
464,153643,4,0.0
465,7407,4,0.0
466,7310,4,0.0
467,285175,4,0.0
468,3382,4,0.0
469,4622,4,0.0
470,57214,4,0.0
471,93589,4,0.0
472,3710,4,0.0
473,9912,4,0.0
474,7038,4,0.0
475,4311,4,0.0
476,6101,4,0.0
477,57540,4,0.0
478,56171,4,0.0
479,79747,4,0.0
480,5406,4,0.0
481,171019,4,0.0
482,9859,4,0.0
483,6002,4,0.0
484,339829,4,0.0
485,114928,4,0.0
486,240,4,0.0
487,374654,4,0.0
488,282996,4,0.0
489,57182,4,0.0
490,94137,4,0.0
491,442319,3,0.0
492,400713,3,0.0
493,3631,3,0.0
494,107,3,0.0
495,57529,3,0.0
496,55628,3,0.0
497,3676,3,0.0
498,164045,3,0.0
499,6334,3,0.0
500,22798,3,0.0
501,147645,3,0.0
502,3708,3,0.0
503,57553,3,0.0
504,219487,3,0.0
505,57113,3,0.0
506,157680,3,0.0
507,1996,3,0.0
508,8295,3,0.0
509,5476,3,0.0
510,79802,3,0.0
511,59269,3,0.0
512,192669,3,0.0
513,7062,3,0.0
514,84154,3,0.0
515,122622,3,0.0
516,5903,3,0.0
517,2290,3,0.0
518,83860,3,0.0
519,196883,3,0.0
520,3949,3,0.0
521,729085,3,0.0
522,2028,3,0.0
523,8239,3,0.0
524,121006,3,0.0
525,55320,3,0.0
526,57497,3,0.0
527,2180,3,0.0
528,5078,3,0.0
529,118611,3,0.0
530,57185,3,0.0
531,50853,3,0.0
532,89766,3,0.0
533,3939,3,0.0
534,9690,3,0.0
535,10142,3,0.0
536,84076,3,0.0
537,9905,3,0.0
538,2050,3,0.0
539,4111,3,0.0
540,51196,3,0.0
541,1757,3,0.0
542,1290,3,0.0
543,343641,3,0.0
544,22918,3,0.0
545,285550,3,0.0
