,Entrez_Gene_Id,counts,Perc_Bi_Allelic,Density
176,27252.0,3.0,0.0,
177,79671.0,3.0,0.0,9.9
178,137970.0,3.0,0.0,
179,6239.0,3.0,0.0,323.9
180,254048.0,3.0,0.0,
181,147798.0,3.0,0.0,89.9
182,114786.0,3.0,0.0,
183,10299.0,3.0,0.0,219.9
184,6523.0,3.0,0.0,
185,3856.0,3.0,0.0,
186,6197.0,3.0,0.0,
187,602.0,3.0,0.0,
188,64410.0,3.0,0.0,
189,55086.0,3.0,0.0,
190,114784.0,3.0,0.0,140.9
191,2742.0,3.0,0.0,
192,11200.0,3.0,0.0,1392.8
193,283489.0,3.0,0.0,
194,342850.0,3.0,0.0,
195,5015.0,3.0,0.0,
196,170690.0,3.0,0.0,135.8
197,57492.0,3.0,0.0,796.8
198,55339.0,3.0,0.0,524.2
199,287.0,3.0,0.0,1002.1
200,653857.0,3.0,0.0,
201,5099.0,3.0,0.0,
202,64434.0,3.0,0.0,153.5
203,89790.0,3.0,0.0,
204,5903.0,3.0,0.0,1015.5
205,4538.0,3.0,0.0,
206,728927.0,2.0,0.0,
207,3927.0,2.0,0.0,
208,23294.0,2.0,0.0,401.1
209,196441.0,2.0,0.0,
210,765.0,2.0,0.0,
211,56884.0,2.0,0.0,
212,6900.0,2.0,0.0,
213,10072.0,2.0,0.0,441.0
214,55718.0,2.0,0.0,
215,162540.0,2.0,0.0,81.5
216,79745.0,2.0,0.0,
217,339967.0,2.0,0.0,
218,1856.0,2.0,0.0,977.8
219,10216.0,2.0,0.0,
220,2006.0,2.0,0.0,
221,79828.0,2.0,0.0,
222,2000.0,2.0,0.0,499.4
223,79822.0,2.0,0.0,
224,4035.0,2.0,0.0,1088.9
225,57453.0,2.0,0.0,364.0
226,552889.0,2.0,0.0,
227,84696.0,2.0,0.0,
228,79798.0,2.0,0.0,
229,2778.0,2.0,0.0,811.9
230,7051.0,2.0,0.0,
231,219874.0,2.0,0.0,
232,1956.0,2.0,0.0,1815.6
233,51104.0,2.0,0.0,
234,57231.0,2.0,0.0,
235,51086.0,2.0,0.0,
236,6794.0,2.0,0.0,
237,157855.0,2.0,0.0,
238,8933.0,2.0,0.0,
239,259290.0,2.0,0.0,
240,55106.0,2.0,0.0,
241,64324.0,2.0,0.0,320.2
242,57577.0,2.0,0.0,
243,3791.0,2.0,0.0,1030.8
244,54988.0,2.0,0.0,
245,89797.0,2.0,0.0,670.0
246,123970.0,2.0,0.0,
247,5796.0,2.0,0.0,
248,5792.0,2.0,0.0,
249,6447.0,2.0,0.0,
250,23360.0,2.0,0.0,
251,133688.0,2.0,0.0,
252,84306.0,2.0,0.0,
253,3713.0,2.0,0.0,
254,11100.0,2.0,0.0,
255,4957.0,2.0,0.0,
256,253559.0,2.0,0.0,
257,23390.0,2.0,0.0,
258,367.0,2.0,0.0,
259,54892.0,2.0,0.0,814.7
260,3691.0,2.0,0.0,
261,65125.0,2.0,0.0,
262,2876.0,2.0,0.0,
263,54101.0,2.0,0.0,
264,1756.0,2.0,0.0,
265,27020.0,2.0,0.0,
266,7993.0,2.0,0.0,
267,94005.0,2.0,0.0,
268,1215.0,2.0,0.0,
269,2868.0,2.0,0.0,526.3
270,55084.0,2.0,0.0,
271,22862.0,2.0,0.0,
272,1826.0,2.0,0.0,304.3
273,1812.0,2.0,0.0,
274,79632.0,2.0,0.0,
275,9990.0,2.0,0.0,189.3
276,4893.0,2.0,0.0,1736.6
277,799.0,2.0,0.0,454.8
278,4841.0,2.0,0.0,
279,78999.0,2.0,0.0,
280,131873.0,2.0,0.0,
281,1768.0,2.0,0.0,
282,9321.0,2.0,0.0,246.7
283,155038.0,2.0,0.0,287.0
284,26048.0,2.0,0.0,
285,23670.0,2.0,0.0,32.9
286,5775.0,2.0,0.0,379.0
287,56886.0,2.0,0.0,
288,203430.0,2.0,0.0,
289,113146.0,2.0,0.0,
290,10752.0,2.0,0.0,
291,55622.0,2.0,0.0,907.9
292,54020.0,2.0,0.0,
293,317.0,2.0,0.0,251.4
294,55612.0,2.0,0.0,426.1
295,22836.0,2.0,0.0,
296,340481.0,2.0,0.0,
297,2562.0,2.0,0.0,759.2
298,23054.0,2.0,0.0,512.6
299,8725.0,2.0,0.0,
300,51085.0,2.0,0.0,
301,8729.0,2.0,0.0,1051.5
302,10780.0,2.0,0.0,504.4
303,123169.0,2.0,0.0,
304,55576.0,2.0,0.0,121.6
305,2312.0,2.0,0.0,135.1
306,10455.0,2.0,0.0,
307,26011.0,2.0,0.0,
308,4641.0,2.0,0.0,527.8
309,10788.0,2.0,0.0,
310,4645.0,2.0,0.0,400.2
311,10500.0,2.0,0.0,
312,23060.0,2.0,0.0,
313,4597.0,2.0,0.0,
314,84464.0,2.0,0.0,
315,348801.0,2.0,0.0,
316,27044.0,2.0,0.0,
