,Run,Body_Site
5265,SRR1355997,Stomach
5281,SRR1356444,Brain - Frontal Cortex (BA9)
5290,SRR1356725,Stomach
5306,SRR1350997,Stomach
5345,SRR1352507,Liver
5359,SRR1352954,Brain - Cortex
5369,SRR1353176,Brain - Cortex
5378,SRR1353376,Liver
5380,SRR1353461,Pancreas
5393,SRR1353878,Liver
5407,SRR1348248,Stomach
5412,SRR1348360,Brain - Frontal Cortex (BA9)
5445,SRR1349320,Liver
5449,SRR1349409,Liver
5451,SRR1349456,Liver
5452,SRR1349479,Liver
5456,SRR1349562,Liver
5469,SRR1350002,Liver
5480,SRR1350239,Liver
5513,SRR1344445,Liver
5516,SRR1345178,Stomach
5519,SRR1345244,Liver
5548,SRR1345871,Stomach
5558,SRR1346734,Liver
5563,SRR1346838,Stomach
5574,SRR1347082,Stomach
5597,SRR1347959,Pancreas
5601,SRR1341277,Brain - Cortex
5604,SRR1341365,Brain - Frontal Cortex (BA9)
5605,SRR1341387,Brain - Cortex
5616,SRR1341626,Pancreas
5619,SRR1341702,Brain - Cortex
5622,SRR1341763,Brain - Frontal Cortex (BA9)
5627,SRR1341877,Liver
5635,SRR1342045,Brain - Frontal Cortex (BA9)
5658,SRR1343175,Stomach
5665,SRR1343324,Stomach
5671,SRR1343481,Brain - Cortex
5691,SRR1343967,Pancreas
5728,SRR1339573,Liver
5736,SRR1339788,Pancreas
5760,SRR1340325,Liver
5783,SRR1340862,Stomach
5801,SRR1336548,Brain - Frontal Cortex (BA9)
5820,SRR1337098,Brain - Frontal Cortex (BA9)
5835,SRR1337412,Brain - Frontal Cortex (BA9)
5853,SRR1337794,Stomach
5856,SRR1337864,Brain - Cortex
5860,SRR1337953,Stomach
5866,SRR1338103,Liver
5870,SRR1338219,Brain - Cortex
5871,SRR1338257,Liver
5883,SRR1338513,Pancreas
5891,SRR1338705,Stomach
5913,SRR1334314,Pancreas
5922,SRR1334564,Brain - Cortex
5933,SRR1334866,Liver
5949,SRR1335236,Liver
5957,SRR1335400,Brain - Cortex
5959,SRR1335446,Brain - Frontal Cortex (BA9)
5977,SRR1335984,Pancreas
5992,SRR1336314,Liver
6004,SRR1331751,Brain - Cortex
6009,SRR1331858,Stomach
6052,SRR1332796,Brain - Cortex
6090,SRR1333741,Brain - Frontal Cortex (BA9)
6096,SRR1333930,Brain - Cortex
6120,SRR1329726,Stomach
6128,SRR1329909,Stomach
6154,SRR1330609,Stomach
6160,SRR1330746,Pancreas
6167,SRR1330901,Pancreas
6173,SRR1331037,Pancreas
6186,SRR1331335,Brain - Cortex
6193,SRR1331488,Liver
6196,SRR1331579,Brain - Frontal Cortex (BA9)
6225,SRR1327303,Pancreas
6238,SRR1327593,Brain - Cortex
6251,SRR1327872,Pancreas
6265,SRR1328360,Stomach
6271,SRR1328487,Brain - Cortex
6282,SRR1328738,Pancreas
6283,SRR1328760,Liver
6288,SRR1328895,Brain - Frontal Cortex (BA9)
6291,SRR1328960,Brain - Cortex
6298,SRR1329108,Stomach
6305,SRR1323746,Brain - Cortex
6322,SRR1324102,Pancreas
6331,SRR1324295,Liver
6335,SRR1324371,Brain - Cortex
6337,SRR1324412,Liver
6342,SRR1324519,Pancreas
6352,SRR1325290,Liver
6370,SRR1325690,Stomach
6385,SRR1326020,Pancreas
6392,SRR1326179,Brain - Frontal Cortex (BA9)
6417,SRR1321765,Pancreas
6422,SRR1321877,Liver
6429,SRR1322028,Pancreas
6441,SRR1322312,Liver
6465,SRR1322816,Pancreas
6475,SRR1323043,Brain - Cortex
6494,SRR1323491,Liver
6550,SRR1320203,Stomach
6553,SRR1320280,Brain - Cortex
6623,SRR1317344,Brain - Frontal Cortex (BA9)
6625,SRR1317387,Pancreas
6632,SRR1317532,Liver
6633,SRR1317554,Liver
6673,SRR1318503,Pancreas
6774,SRR1316096,Liver
6793,SRR1316553,Stomach
6826,SRR1311794,Brain - Cortex
6851,SRR1312388,Stomach
6949,SRR1310136,Brain - Cortex
6954,SRR1310253,Stomach
7107,SRR1105248,Liver
7118,SRR1105513,Stomach
7124,SRR1120363,Pancreas
7126,SRR1120711,Stomach
7131,SRR1120825,Stomach
7136,SRR1120939,Liver
7207,SRR1100991,Liver
7229,SRR1101542,Pancreas
7243,SRR1101883,Liver
7247,SRR1101981,Stomach
7250,SRR1102055,Brain - Frontal Cortex (BA9)
7254,SRR1102152,Liver
7259,SRR1102272,Stomach
7263,SRR1102369,Stomach
7285,SRR1102899,Liver
7300,SRR1098122,Stomach
7301,SRR1098146,Stomach
