,Entrez_Gene_Id,counts,Perc_Bi_Allelic,Density
505,147495.0,3.0,1.0,
506,65249.0,3.0,1.0,
507,391190.0,3.0,1.0,
508,7593.0,3.0,1.0,
509,80724.0,3.0,1.0,91.9
510,3107.0,3.0,1.0,
511,23365.0,3.0,1.0,
512,89839.0,3.0,1.0,
513,10392.0,3.0,1.0,325.1
514,54464.0,3.0,1.0,1426.6
515,6389.0,3.0,1.0,1029.9
516,79648.0,3.0,1.0,
517,1798.0,3.0,1.0,
518,5100.0,3.0,1.0,
519,2204.0,3.0,1.0,
520,54927.0,3.0,1.0,
521,80209.0,3.0,1.0,388.9
522,2875.0,3.0,1.0,421.3
523,5480.0,3.0,1.0,512.4
524,11006.0,3.0,1.0,
525,1861.0,3.0,1.0,
526,1780.0,3.0,1.0,633.8
527,64757.0,3.0,1.0,
528,85441.0,3.0,1.0,117.6
529,6936.0,3.0,1.0,
530,165082.0,3.0,1.0,17.3
531,81327.0,3.0,1.0,
532,1234.0,3.0,1.0,
533,4299.0,3.0,1.0,
534,147138.0,3.0,1.0,
535,33.0,3.0,1.0,
536,7373.0,3.0,1.0,532.9
537,11063.0,3.0,1.0,
538,11342.0,3.0,1.0,
539,3118.0,3.0,1.0,
540,29785.0,3.0,1.0,
541,79230.0,3.0,1.0,
542,3146.0,3.0,1.0,
543,94137.0,3.0,1.0,2.8
544,11190.0,3.0,1.0,468.7
545,10178.0,3.0,1.0,58.7
546,151126.0,3.0,1.0,
547,10075.0,3.0,1.0,1141.6
548,10531.0,3.0,1.0,
549,2811.0,3.0,1.0,
550,4047.0,3.0,1.0,
551,55589.0,3.0,1.0,1063.1
552,24148.0,3.0,1.0,1032.4
553,2036.0,3.0,1.0,
554,23145.0,3.0,1.0,
555,5089.0,3.0,1.0,
556,84619.0,3.0,1.0,
557,23560.0,3.0,1.0,1448.8
558,55206.0,3.0,1.0,252.6
559,1615.0,3.0,1.0,
560,6695.0,3.0,1.0,
561,26504.0,3.0,1.0,
562,27233.0,3.0,1.0,
563,23218.0,3.0,1.0,
564,492.0,3.0,1.0,569.1
565,942.0,3.0,1.0,
566,23505.0,3.0,1.0,
567,23135.0,3.0,1.0,164.6
568,23461.0,3.0,1.0,187.3
569,2329.0,3.0,1.0,
570,201294.0,3.0,1.0,
571,80781.0,3.0,1.0,
572,8038.0,3.0,1.0,986.7
573,57724.0,3.0,1.0,28.8
574,6262.0,3.0,1.0,819.7
575,55190.0,3.0,1.0,
576,114785.0,3.0,1.0,
577,10250.0,3.0,1.0,
578,727897.0,3.0,1.0,
579,84905.0,3.0,1.0,152.1
580,55659.0,3.0,1.0,
581,152110.0,3.0,1.0,811.4
582,10942.0,3.0,1.0,
583,374308.0,3.0,1.0,27.7
584,51168.0,3.0,1.0,139.4
585,4035.0,3.0,1.0,1088.9
586,2098.0,3.0,1.0,
587,54454.0,3.0,1.0,
588,51666.0,3.0,1.0,
589,5310.0,3.0,1.0,652.0
590,94240.0,3.0,1.0,
591,375260.0,3.0,1.0,
592,30.0,3.0,1.0,
593,9895.0,3.0,1.0,
594,55904.0,3.0,1.0,195.1
595,150365.0,3.0,1.0,
596,81616.0,3.0,1.0,
597,8202.0,3.0,1.0,830.1
598,168417.0,3.0,1.0,
599,5430.0,3.0,1.0,
600,54700.0,3.0,1.0,
601,5152.0,3.0,1.0,
602,10893.0,3.0,1.0,378.5
603,7407.0,3.0,1.0,
604,6540.0,3.0,1.0,
605,1848.0,3.0,1.0,
606,692099.0,3.0,1.0,
607,64135.0,3.0,1.0,
608,222663.0,3.0,1.0,
609,9024.0,3.0,1.0,
610,1316.0,3.0,1.0,936.1
611,9520.0,3.0,1.0,
612,79026.0,3.0,1.0,344.8
613,9578.0,3.0,1.0,756.2
614,3431.0,3.0,1.0,497.1
615,7343.0,3.0,1.0,
616,22864.0,3.0,1.0,
617,55930.0,3.0,1.0,775.3
618,3037.0,3.0,1.0,
619,860.0,3.0,1.0,
620,5797.0,3.0,1.0,
621,5356.0,3.0,1.0,
622,3785.0,3.0,1.0,
623,283638.0,3.0,1.0,
624,988.0,3.0,1.0,
625,729375.0,3.0,1.0,
626,2314.0,3.0,1.0,440.7
627,22928.0,3.0,1.0,
628,54906.0,3.0,1.0,
629,6376.0,3.0,1.0,
630,1310.0,3.0,1.0,
631,5284.0,3.0,1.0,
632,51426.0,3.0,1.0,
633,7461.0,3.0,1.0,
634,1108.0,3.0,1.0,711.3
635,70.0,3.0,1.0,
636,22937.0,3.0,1.0,
637,222546.0,3.0,1.0,
638,8631.0,3.0,1.0,
639,283788.0,3.0,1.0,
