,Entrez_Gene_Id,counts,Perc_Bi_Allelic
163,113146,5,1.0
164,84064,5,1.0
165,91860,5,1.0
166,7057,5,1.0
167,5296,5,1.0
168,6526,5,1.0
169,23072,5,1.0
170,2324,5,1.0
171,2046,5,1.0
172,90381,5,1.0
173,114783,5,1.0
174,2312,5,1.0
175,3645,5,1.0
176,51268,5,1.0
177,57670,5,1.0
178,8289,5,1.0
179,338,5,1.0
180,1938,5,1.0
181,4647,5,1.0
182,219429,5,1.0
183,55870,5,1.0
184,60626,5,1.0
185,394263,5,1.0
186,285527,5,1.0
187,1826,5,1.0
188,1293,5,1.0
189,9611,5,1.0
190,7306,5,1.0
191,170691,5,1.0
192,191585,5,1.0
193,51059,5,1.0
194,9020,5,1.0
195,7364,5,1.0
196,55852,5,1.0
197,23363,5,1.0
198,23037,5,1.0
199,60,5,1.0
200,144406,5,1.0
201,7011,5,1.0
202,23175,5,1.0
203,22981,5,1.0
204,22997,5,1.0
205,54879,5,1.0
206,64123,5,1.0
207,730092,5,1.0
208,22874,5,1.0
209,2696,5,1.0
210,84181,5,1.0
211,7391,5,1.0
212,1308,5,1.0
213,8672,5,1.0
214,54510,5,1.0
215,5550,5,1.0
216,440081,5,1.0
217,124245,5,1.0
218,2912,5,1.0
219,54798,5,1.0
220,6651,5,1.0
221,9736,5,1.0
222,9037,5,1.0
223,5330,5,1.0
224,6908,5,1.0
225,10989,5,1.0
226,3581,5,1.0
227,140685,5,1.0
228,26037,5,1.0
229,3416,5,1.0
230,3714,5,1.0
231,9967,5,1.0
232,221400,4,1.0
233,3064,4,1.0
234,9213,4,1.0
235,3120,4,1.0
236,6641,4,1.0
237,199692,4,1.0
238,8633,4,1.0
239,1105,4,1.0
240,7145,4,1.0
241,6601,4,1.0
242,25809,4,1.0
243,10631,4,1.0
244,5091,4,1.0
245,338674,4,1.0
246,22889,4,1.0
247,205717,4,1.0
248,84678,4,1.0
249,84795,4,1.0
250,6598,4,1.0
251,23062,4,1.0
252,55625,4,1.0
253,9737,4,1.0
254,100033413,4,1.0
255,10210,4,1.0
256,658,4,1.0
257,2968,4,1.0
258,56241,4,1.0
259,26073,4,1.0
260,23321,4,1.0
261,7094,4,1.0
262,1129,4,1.0
263,55636,4,1.0
264,23092,4,1.0
265,9525,4,1.0
266,55283,4,1.0
267,2566,4,1.0
268,6059,4,1.0
269,84684,4,1.0
270,26469,4,1.0
271,3912,4,1.0
272,7994,4,1.0
273,148741,4,1.0
